epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0184,2.08285,2.59867,1.40138,0.5454,0.54701,0.53098,0.26073,1.59443,2.01634,1.23427,0.0001,0.0001,0.0001
2,26.1636,1.62187,1.33996,1.11383,0.73894,0.7265,0.74657,0.41481,1.3439,2.41814,1.08134,0.000218548,0.000218548,0.000218548
3,39.4872,1.42987,1.02344,1.05443,0.88581,0.77778,0.85688,0.5,1.26277,1.7762,1.03215,0.000335512,0.000335512,0.000335512
4,53.1003,1.33728,0.90419,1.01953,0.84652,0.75425,0.82812,0.47536,1.26758,1.78397,1.02222,0.000450892,0.000450892,0.000450892
5,66.5738,1.30645,0.84237,1.0144,0.80118,0.79219,0.81757,0.49683,1.23647,1.55557,1.03366,0.000564688,0.000564688,0.000564688
6,79.9647,1.32301,0.82205,0.99082,0.76685,0.76068,0.73942,0.4292,1.227,1.36448,1.02298,0.0006769,0.0006769,0.0006769
7,93.3404,1.25138,0.8636,0.99005,0.84171,0.74992,0.8315,0.51437,1.17734,1.04599,1.00817,0.000787528,0.000787528,0.000787528
8,106.351,1.20044,0.81854,0.9905,0.81513,0.84791,0.86929,0.50985,1.19502,1.30479,1.01967,0.000896572,0.000896572,0.000896572
9,119.003,1.14959,0.75641,0.97943,0.72723,0.77477,0.75846,0.47124,1.10821,1.47336,0.98843,0.00100403,0.00100403,0.00100403
10,132.133,1.24682,0.76529,0.97354,0.85619,0.82906,0.88233,0.54985,1.14432,0.96463,0.98789,0.00110991,0.00110991,0.00110991
11,143.597,1.1913,0.74695,0.94962,0.83509,0.80769,0.8626,0.55636,1.11645,0.93953,0.98866,0.0012142,0.0012142,0.0012142
12,154.867,1.17816,0.78499,0.96927,0.70649,0.74786,0.69982,0.45215,1.14868,0.89043,0.98989,0.00131691,0.00131691,0.00131691
