epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.7262,1.7966,2.01714,1.57961,0.35726,0.55453,0.36714,0.16648,1.77487,1.76625,1.77988,0.000552956,0.000552956,0.000552956
2,90.5933,1.63742,1.51649,1.48672,0.4007,0.58674,0.35633,0.14772,1.80029,1.71074,1.81131,0.00108667,0.00108667,0.00108667
3,123.431,1.64326,1.49016,1.49793,0.37506,0.57724,0.36071,0.15095,1.72799,1.77586,1.72048,0.00159838,0.00159838,0.00159838
4,156.298,1.59411,1.42871,1.47587,0.41468,0.66697,0.44496,0.20164,1.7295,1.54066,1.71339,0.00156798,0.00156798,0.00156798
5,188.868,1.58787,1.40753,1.47029,0.39387,0.61385,0.4238,0.18964,1.66676,1.67273,1.65541,0.00153497,0.00153497,0.00153497
6,220.818,1.54286,1.38297,1.44785,0.40362,0.64823,0.43068,0.20283,1.66344,1.5316,1.66403,0.00150197,0.00150197,0.00150197
7,251.668,1.52853,1.35781,1.44629,0.40835,0.68125,0.44099,0.2155,1.69789,1.4635,1.70055,0.00146896,0.00146896,0.00146896
8,283.527,1.53339,1.34965,1.43917,0.43166,0.65145,0.4612,0.21793,1.64148,1.43397,1.66368,0.00143595,0.00143595,0.00143595
9,315.867,1.50156,1.33305,1.42765,0.40604,0.63713,0.42645,0.19257,1.6626,1.49585,1.71675,0.00140295,0.00140295,0.00140295
10,348.352,1.48143,1.32634,1.41585,0.43866,0.66506,0.48772,0.23258,1.62436,1.41023,1.65233,0.00136994,0.00136994,0.00136994
11,380.831,1.46368,1.30459,1.40787,0.41982,0.68225,0.47385,0.21333,1.68608,1.38281,1.73516,0.00133693,0.00133693,0.00133693
12,411.891,1.46501,1.30141,1.40502,0.46561,0.6647,0.49223,0.2217,1.63625,1.35917,1.65197,0.00130393,0.00130393,0.00130393
13,443.015,1.44514,1.29096,1.39814,0.42415,0.67643,0.46179,0.21894,1.64179,1.3906,1.6803,0.00127092,0.00127092,0.00127092
14,474.123,1.43423,1.28362,1.38944,0.43007,0.70614,0.49237,0.22593,1.60726,1.35357,1.66745,0.00123791,0.00123791,0.00123791
15,505.108,1.45289,1.28193,1.39314,0.43939,0.69189,0.48004,0.21773,1.6138,1.32253,1.63369,0.00120491,0.00120491,0.00120491
16,536.106,1.44175,1.27622,1.39186,0.43811,0.69785,0.48222,0.23796,1.59538,1.31797,1.66508,0.0011719,0.0011719,0.0011719
17,567.135,1.42178,1.26197,1.38343,0.45273,0.69676,0.50056,0.22879,1.64196,1.2982,1.70473,0.00113889,0.00113889,0.00113889
18,598.166,1.4089,1.26118,1.3756,0.4304,0.71342,0.48194,0.23625,1.65174,1.32139,1.70406,0.00110589,0.00110589,0.00110589
19,629.265,1.41985,1.25985,1.38202,0.43969,0.67534,0.46319,0.20831,1.66235,1.39257,1.69115,0.00107288,0.00107288,0.00107288
20,660.182,1.40733,1.24655,1.37412,0.43556,0.68869,0.46427,0.22614,1.58755,1.36989,1.6628,0.00103987,0.00103987,0.00103987
21,691.321,1.41914,1.2548,1.37959,0.44059,0.716,0.4883,0.2249,1.63718,1.31632,1.70913,0.00100687,0.00100687,0.00100687
