epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.207,1.10759,0.92672,0.97403,0.40646,0.9475,0.72085,0.5166,0.87465,2.0119,0.90031,0.000330688,0.000330688,0.0672619
2,103.657,0.90341,0.58796,0.88726,0.90377,0.89778,0.96222,0.74501,0.74394,0.55124,0.85731,0.000663949,0.000663949,0.0342618
3,127.965,0.86343,0.55674,0.87904,0.92125,0.93301,0.97622,0.75725,0.75339,0.49787,0.85636,0.000996921,0.000996921,0.00126147
4,152.422,0.86105,0.54771,0.8764,0.92035,0.92313,0.97034,0.76645,0.73525,0.48933,0.85118,0.000999023,0.000999023,0.000999023
5,176.509,0.84225,0.51679,0.86959,0.93016,0.93985,0.98043,0.76753,0.72303,0.46011,0.85394,0.000998264,0.000998264,0.000998264
6,200.773,0.81975,0.50072,0.86906,0.91601,0.93,0.97128,0.75578,0.75897,0.4953,0.85345,0.000997288,0.000997288,0.000997288
7,224.729,0.82461,0.49876,0.86855,0.92203,0.9342,0.97678,0.77459,0.71777,0.46545,0.85136,0.000996097,0.000996097,0.000996097
8,248.486,0.79357,0.4781,0.86134,0.93151,0.9506,0.98086,0.78145,0.71147,0.43063,0.84734,0.00099469,0.00099469,0.00099469
9,271.975,0.79968,0.47739,0.86011,0.92956,0.93839,0.97987,0.78421,0.69523,0.43589,0.84427,0.000993068,0.000993068,0.000993068
10,295.865,0.78007,0.46241,0.85789,0.93126,0.95126,0.98159,0.78221,0.71212,0.423,0.84557,0.000991232,0.000991232,0.000991232
11,319.704,0.78443,0.45884,0.85472,0.93438,0.95315,0.98286,0.79969,0.6744,0.40369,0.84072,0.000989183,0.000989183,0.000989183
12,343.539,0.76662,0.45122,0.85458,0.93303,0.94827,0.98179,0.78796,0.69437,0.40915,0.84518,0.000986922,0.000986922,0.000986922
13,367.023,0.76244,0.4544,0.85418,0.93888,0.93963,0.98116,0.79142,0.68491,0.41632,0.84185,0.000984449,0.000984449,0.000984449
14,390.8,0.76128,0.45031,0.85337,0.93204,0.9496,0.98245,0.79346,0.69508,0.4151,0.84372,0.000981765,0.000981765,0.000981765
15,414.455,0.76037,0.44741,0.85359,0.93516,0.95053,0.98248,0.7945,0.67451,0.39848,0.83982,0.000978873,0.000978873,0.000978873
16,438.349,0.76081,0.45001,0.85182,0.93415,0.946,0.98032,0.79246,0.68345,0.40666,0.84008,0.000975773,0.000975773,0.000975773
17,461.943,0.75275,0.44106,0.84975,0.93243,0.95591,0.98295,0.79846,0.6747,0.39344,0.8386,0.000972466,0.000972466,0.000972466
18,485.851,0.74444,0.43536,0.84666,0.92419,0.95857,0.98172,0.78906,0.68148,0.40707,0.83621,0.000968955,0.000968955,0.000968955
19,509.61,0.74572,0.43175,0.84539,0.93424,0.94414,0.98236,0.79137,0.67778,0.4225,0.83643,0.000965239,0.000965239,0.000965239
20,532.987,0.7441,0.42751,0.84719,0.93979,0.94572,0.98399,0.8006,0.66412,0.39312,0.83465,0.000961322,0.000961322,0.000961322
21,556.142,0.72727,0.42195,0.84515,0.9407,0.94701,0.98372,0.80303,0.65975,0.386,0.83583,0.000957205,0.000957205,0.000957205
22,579.213,0.73072,0.42412,0.84525,0.93632,0.94956,0.98304,0.7952,0.68556,0.39756,0.83987,0.000952889,0.000952889,0.000952889
23,602.268,0.72982,0.4203,0.84344,0.9381,0.9506,0.98328,0.79322,0.68019,0.38749,0.83979,0.000948377,0.000948377,0.000948377
24,625.434,0.7268,0.42081,0.84427,0.93342,0.94927,0.98256,0.79048,0.67415,0.39196,0.83867,0.000943671,0.000943671,0.000943671
25,648.472,0.72554,0.41401,0.84186,0.9402,0.95004,0.98352,0.80653,0.65143,0.37856,0.83494,0.000938772,0.000938772,0.000938772
26,671.657,0.72416,0.41239,0.84447,0.93845,0.95079,0.98441,0.79869,0.67656,0.39219,0.83951,0.000933683,0.000933683,0.000933683
27,694.746,0.72644,0.41846,0.84317,0.94284,0.94473,0.98407,0.79062,0.68401,0.39227,0.83615,0.000928405,0.000928405,0.000928405
28,718.583,0.71865,0.41138,0.84114,0.93838,0.95474,0.98473,0.80465,0.65746,0.37773,0.8388,0.000922942,0.000922942,0.000922942
29,742.245,0.71637,0.408,0.84348,0.94439,0.94619,0.98462,0.80911,0.64648,0.37497,0.83324,0.000917296,0.000917296,0.000917296
30,766.064,0.71547,0.40607,0.84018,0.9411,0.94694,0.98475,0.80774,0.65355,0.37777,0.8346,0.000911469,0.000911469,0.000911469
31,789.68,0.71365,0.40711,0.83914,0.93602,0.95492,0.98391,0.80707,0.6509,0.37527,0.83396,0.000905463,0.000905463,0.000905463
32,813.568,0.7063,0.40093,0.84024,0.93458,0.95525,0.98405,0.80718,0.64993,0.37814,0.8356,0.000899282,0.000899282,0.000899282
