epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.4987,1.33747,1.5883,0.94322,0.78472,0.61763,0.80662,0.60242,0.92239,1.31696,0.86895,0.000330688,0.000330688,0.0672619
2,105.513,1.15008,0.61049,0.88623,0.87523,0.89145,0.94421,0.71313,0.92233,0.58974,0.86293,0.000663949,0.000663949,0.0342618
3,136.372,1.12469,0.57422,0.87949,0.88588,0.88502,0.94311,0.73243,0.87293,0.55149,0.85553,0.000996921,0.000996921,0.00126147
4,167.311,1.09425,0.54602,0.87829,0.89864,0.91527,0.96549,0.75405,0.86158,0.42674,0.85182,0.000999023,0.000999023,0.000999023
5,198.286,1.06264,0.51846,0.86981,0.91872,0.91774,0.97282,0.75929,0.86968,0.39944,0.84899,0.000998264,0.000998264,0.000998264
6,228.954,1.04517,0.49751,0.86755,0.90853,0.93188,0.97287,0.77039,0.8287,0.37139,0.84531,0.000997288,0.000997288,0.000997288
7,259.34,1.05402,0.49262,0.86512,0.90015,0.92745,0.96785,0.7754,0.80988,0.38178,0.84336,0.000996097,0.000996097,0.000996097
8,289.508,1.02485,0.47072,0.86296,0.90893,0.93973,0.97545,0.76849,0.83802,0.36176,0.8459,0.00099469,0.00099469,0.00099469
9,319.768,1.01578,0.46617,0.85892,0.9136,0.92647,0.97244,0.7785,0.81342,0.39248,0.83941,0.000993068,0.000993068,0.000993068
10,349.87,1.00716,0.45532,0.8596,0.90612,0.92584,0.97241,0.77043,0.81708,0.37723,0.84179,0.000991232,0.000991232,0.000991232
11,379.806,1.00981,0.4669,0.85875,0.9085,0.92977,0.97278,0.77983,0.79559,0.37907,0.839,0.000989183,0.000989183,0.000989183
12,409.481,0.99029,0.4522,0.85815,0.91444,0.93053,0.9764,0.78485,0.79357,0.36897,0.83714,0.000986922,0.000986922,0.000986922
13,439.495,0.99328,0.45536,0.85279,0.91361,0.93595,0.97384,0.77941,0.81914,0.40877,0.83949,0.000984449,0.000984449,0.000984449
14,470.104,0.98264,0.43301,0.85725,0.91665,0.93068,0.97681,0.78599,0.80784,0.35913,0.83891,0.000981765,0.000981765,0.000981765
15,500.374,0.96569,0.4254,0.85023,0.92588,0.94095,0.97998,0.79037,0.79476,0.33748,0.83415,0.000978873,0.000978873,0.000978873
16,530.709,0.95994,0.42811,0.85291,0.9164,0.93976,0.9785,0.79831,0.76261,0.35405,0.83174,0.000975773,0.000975773,0.000975773
17,560.956,0.94793,0.41347,0.85096,0.92049,0.93908,0.978,0.78489,0.80567,0.34284,0.83517,0.000972466,0.000972466,0.000972466
18,590.841,0.95249,0.41825,0.84627,0.91973,0.9331,0.97659,0.79547,0.77209,0.34642,0.83241,0.000968955,0.000968955,0.000968955
19,620.783,0.94646,0.41068,0.84459,0.92926,0.93554,0.97919,0.79631,0.77803,0.33801,0.8329,0.000965239,0.000965239,0.000965239
20,650.643,0.94915,0.41691,0.8464,0.91004,0.94174,0.9782,0.79001,0.77055,0.35866,0.82997,0.000961322,0.000961322,0.000961322
21,680.494,0.94623,0.41181,0.84637,0.91971,0.93763,0.9777,0.80154,0.75602,0.34184,0.83072,0.000957205,0.000957205,0.000957205
22,710.563,0.95167,0.41124,0.84627,0.91878,0.94098,0.97942,0.8,0.75992,0.32614,0.83072,0.000952889,0.000952889,0.000952889
23,740.358,0.93824,0.39497,0.84661,0.92021,0.94277,0.97943,0.79601,0.79124,0.33245,0.83374,0.000948377,0.000948377,0.000948377
24,770.603,0.94547,0.41032,0.84283,0.93183,0.92911,0.97706,0.7822,0.80295,0.3394,0.83874,0.000943671,0.000943671,0.000943671
25,800.711,0.92653,0.40474,0.84339,0.92478,0.93549,0.97977,0.79263,0.78037,0.33088,0.83401,0.000938772,0.000938772,0.000938772
26,830.584,0.92651,0.41048,0.84509,0.92286,0.93956,0.97971,0.80369,0.75128,0.32256,0.82857,0.000933683,0.000933683,0.000933683
27,860.454,0.92087,0.39496,0.84165,0.92499,0.93572,0.97905,0.79957,0.76782,0.32938,0.82914,0.000928405,0.000928405,0.000928405
28,890.59,0.91112,0.39023,0.83958,0.92622,0.9434,0.98026,0.80604,0.74756,0.32294,0.8247,0.000922942,0.000922942,0.000922942
29,920.862,0.91513,0.38334,0.83779,0.92549,0.94242,0.97927,0.79698,0.7818,0.32485,0.82879,0.000917296,0.000917296,0.000917296
30,951.031,0.90596,0.384,0.83916,0.9234,0.94138,0.97918,0.80211,0.75532,0.32372,0.82641,0.000911469,0.000911469,0.000911469
31,981.525,0.91951,0.39033,0.8397,0.91984,0.93941,0.9795,0.79902,0.77445,0.32485,0.83235,0.000905463,0.000905463,0.000905463
32,1011.98,0.90536,0.39534,0.83676,0.93828,0.9352,0.98131,0.79571,0.78748,0.32155,0.8319,0.000899282,0.000899282,0.000899282
33,1042.62,0.90949,0.38935,0.83741,0.93529,0.93661,0.98096,0.80989,0.74036,0.31835,0.8239,0.000892928,0.000892928,0.000892928
34,1073.49,0.89649,0.37592,0.83945,0.92359,0.94739,0.97993,0.80527,0.7497,0.31672,0.82784,0.000886404,0.000886404,0.000886404
35,1103.6,0.89739,0.38421,0.83869,0.92676,0.94152,0.98158,0.803,0.759,0.32066,0.82811,0.000879713,0.000879713,0.000879713
36,1133.93,0.89574,0.37899,0.83342,0.92634,0.94174,0.98084,0.80281,0.75183,0.31874,0.82727,0.000872857,0.000872857,0.000872857
37,1164.13,0.89055,0.37315,0.83577,0.93153,0.94186,0.98166,0.80382,0.76255,0.31346,0.83069,0.000865839,0.000865839,0.000865839
38,1194.58,0.8824,0.36405,0.8345,0.93554,0.93725,0.98168,0.80864,0.73804,0.31687,0.8217,0.000858664,0.000858664,0.000858664
39,1224.92,0.89645,0.36379,0.83485,0.92941,0.94462,0.98207,0.80395,0.75935,0.30407,0.82878,0.000851333,0.000851333,0.000851333
40,1255.09,0.88623,0.36329,0.83185,0.92931,0.94628,0.98207,0.80839,0.75217,0.30577,0.82798,0.000843851,0.000843851,0.000843851
41,1285.68,0.88736,0.36956,0.83293,0.92704,0.95016,0.98263,0.81155,0.73456,0.30687,0.82322,0.00083622,0.00083622,0.00083622
42,1315.98,0.87737,0.36607,0.8329,0.93336,0.94384,0.98277,0.80993,0.73834,0.30036,0.82506,0.000828443,0.000828443,0.000828443
43,1346.19,0.87361,0.36074,0.83053,0.92986,0.9444,0.98236,0.80877,0.74379,0.31142,0.8244,0.000820525,0.000820525,0.000820525
44,1376.42,0.86875,0.3581,0.8339,0.9213,0.94883,0.98199,0.80765,0.74109,0.30844,0.82546,0.000812468,0.000812468,0.000812468
45,1406.68,0.87396,0.35872,0.83129,0.92821,0.95049,0.98242,0.81158,0.73409,0.30273,0.82466,0.000804277,0.000804277,0.000804277
46,1436.82,0.87952,0.36272,0.83096,0.93041,0.94331,0.98036,0.80796,0.74467,0.307,0.82565,0.000795954,0.000795954,0.000795954
47,1467.26,0.87418,0.35756,0.82971,0.9354,0.94312,0.98331,0.8127,0.73627,0.30527,0.82281,0.000787503,0.000787503,0.000787503
48,1497.81,0.86435,0.35339,0.83037,0.93239,0.9409,0.98151,0.80849,0.74817,0.31626,0.82718,0.000778929,0.000778929,0.000778929
49,1528.35,0.86185,0.35572,0.82882,0.92481,0.94556,0.98109,0.81101,0.73674,0.31664,0.82437,0.000770234,0.000770234,0.000770234
50,1558.61,0.8498,0.3481,0.82905,0.93488,0.94458,0.98266,0.81475,0.72633,0.29822,0.82101,0.000761423,0.000761423,0.000761423
51,1589.18,0.86628,0.34761,0.82657,0.9348,0.94657,0.98239,0.81276,0.73406,0.29717,0.82653,0.0007525,0.0007525,0.0007525
52,1619.47,0.85014,0.34678,0.82772,0.93185,0.94507,0.98202,0.81195,0.73669,0.30395,0.82375,0.000743468,0.000743468,0.000743468
53,1649.72,0.85816,0.35059,0.82667,0.93382,0.94242,0.98163,0.80967,0.74449,0.30344,0.82353,0.000734332,0.000734332,0.000734332
54,1679.98,0.85008,0.34254,0.82865,0.9366,0.94095,0.98234,0.81451,0.72636,0.30519,0.82271,0.000725094,0.000725094,0.000725094
55,1710.14,0.84818,0.34712,0.82733,0.92838,0.94764,0.98144,0.81371,0.72891,0.30847,0.82562,0.000715761,0.000715761,0.000715761
56,1740.44,0.85508,0.34824,0.82557,0.93735,0.94133,0.98146,0.80908,0.74557,0.30801,0.82673,0.000706335,0.000706335,0.000706335
57,1770.98,0.83843,0.34312,0.8242,0.934,0.9437,0.9826,0.81215,0.73448,0.30423,0.82452,0.00069682,0.00069682,0.00069682
58,1801.61,0.83895,0.34309,0.82561,0.93828,0.94074,0.98309,0.8146,0.73499,0.30192,0.8235,0.000687222,0.000687222,0.000687222
59,1831.75,0.83266,0.33651,0.82427,0.93546,0.94565,0.98282,0.81565,0.72582,0.30442,0.82181,0.000677543,0.000677543,0.000677543
60,1862.85,0.84023,0.33731,0.82376,0.92619,0.95359,0.98305,0.81354,0.73542,0.29958,0.82362,0.000667789,0.000667789,0.000667789
61,1893.1,0.83736,0.33833,0.8238,0.92666,0.95033,0.98225,0.80805,0.7452,0.31031,0.82565,0.000657963,0.000657963,0.000657963
62,1923.23,0.83347,0.33737,0.82516,0.94091,0.94009,0.98331,0.81305,0.73474,0.30104,0.82349,0.000648071,0.000648071,0.000648071
63,1953.38,0.8349,0.33551,0.82563,0.93011,0.95403,0.98291,0.81854,0.71556,0.29433,0.82078,0.000638115,0.000638115,0.000638115
64,1983.82,0.83668,0.33755,0.82415,0.93882,0.94373,0.98308,0.81682,0.72134,0.30214,0.82039,0.000628101,0.000628101,0.000628101
65,2014.33,0.82462,0.32901,0.82044,0.93559,0.9424,0.98209,0.81127,0.73397,0.30387,0.82453,0.000618034,0.000618034,0.000618034
66,2044.77,0.81615,0.32651,0.82132,0.93154,0.94651,0.9831,0.8188,0.71593,0.29879,0.81978,0.000607916,0.000607916,0.000607916
67,2075.73,0.82287,0.32925,0.82233,0.9373,0.94379,0.98237,0.81559,0.72327,0.29701,0.82056,0.000597754,0.000597754,0.000597754
68,2105.99,0.82274,0.32632,0.82095,0.93059,0.9519,0.98265,0.81572,0.72334,0.29962,0.82204,0.000587551,0.000587551,0.000587551
69,2136.33,0.82371,0.32841,0.8219,0.93466,0.94913,0.98263,0.81398,0.72922,0.29769,0.823,0.000577311,0.000577311,0.000577311
70,2166.64,0.82191,0.32392,0.81921,0.92869,0.94872,0.98185,0.81918,0.71516,0.29452,0.82182,0.00056704,0.00056704,0.00056704
71,2196.95,0.81373,0.3247,0.82009,0.92936,0.95156,0.98134,0.81599,0.71452,0.29967,0.82048,0.000556742,0.000556742,0.000556742
72,2227.35,0.81173,0.32696,0.82126,0.93665,0.94506,0.98286,0.81732,0.71911,0.29321,0.82112,0.000546421,0.000546421,0.000546421
73,2257.81,0.81233,0.32457,0.81889,0.94079,0.94462,0.98282,0.81826,0.71467,0.29517,0.82105,0.000536081,0.000536081,0.000536081
74,2288.33,0.80548,0.32321,0.82038,0.93781,0.94639,0.98365,0.81699,0.72085,0.2939,0.82256,0.000525728,0.000525728,0.000525728
75,2318.55,0.81047,0.31998,0.81878,0.93469,0.95118,0.9829,0.81889,0.71313,0.29263,0.82052,0.000515366,0.000515366,0.000515366
76,2349.06,0.81189,0.32427,0.81851,0.94371,0.94251,0.98327,0.81883,0.71721,0.29458,0.82133,0.000505,0.000505,0.000505
77,2379.58,0.80864,0.32,0.8192,0.93674,0.95016,0.98331,0.81882,0.71513,0.29511,0.81988,0.000494634,0.000494634,0.000494634
78,2409.91,0.80749,0.31467,0.81642,0.93709,0.94705,0.98264,0.81844,0.71585,0.29836,0.8207,0.000484272,0.000484272,0.000484272
79,2439.85,0.80404,0.3177,0.81809,0.93838,0.94624,0.98291,0.82133,0.70888,0.29583,0.81914,0.000473919,0.000473919,0.000473919
80,2469.79,0.79734,0.31472,0.81966,0.9365,0.94872,0.98327,0.82066,0.7093,0.29017,0.8195,0.000463579,0.000463579,0.000463579
81,2499.56,0.80275,0.318,0.81683,0.93507,0.9475,0.98208,0.81727,0.71665,0.29618,0.82162,0.000453258,0.000453258,0.000453258
82,2530.04,0.79612,0.3124,0.81616,0.9395,0.94437,0.9827,0.81834,0.71319,0.2944,0.82107,0.00044296,0.00044296,0.00044296
83,2560.26,0.78449,0.30702,0.81715,0.93228,0.95156,0.98274,0.82064,0.70855,0.29277,0.82026,0.000432689,0.000432689,0.000432689
84,2590.23,0.79192,0.31205,0.8154,0.94058,0.94331,0.98286,0.8175,0.71276,0.29662,0.82324,0.000422449,0.000422449,0.000422449
85,2620.15,0.79957,0.31647,0.81516,0.93304,0.94661,0.98176,0.81718,0.71626,0.30391,0.82087,0.000412246,0.000412246,0.000412246
86,2650.15,0.79306,0.31091,0.81527,0.94106,0.94041,0.98224,0.81697,0.72032,0.29812,0.82046,0.000402084,0.000402084,0.000402084
87,2680.07,0.79559,0.3126,0.81509,0.93592,0.94883,0.98226,0.81777,0.72227,0.29646,0.8237,0.000391966,0.000391966,0.000391966
88,2709.93,0.79066,0.31028,0.8155,0.9408,0.94168,0.98226,0.81838,0.71448,0.30178,0.82156,0.000381899,0.000381899,0.000381899
89,2740.93,0.78699,0.30569,0.81429,0.93102,0.9523,0.98223,0.81814,0.71495,0.30188,0.82073,0.000371885,0.000371885,0.000371885
90,2771.93,0.77967,0.30465,0.81358,0.93401,0.95038,0.98277,0.81954,0.71725,0.2932,0.82019,0.000361929,0.000361929,0.000361929
91,2803.01,0.77999,0.30441,0.81387,0.93498,0.94938,0.98238,0.81952,0.716,0.29232,0.82135,0.000352037,0.000352037,0.000352037
92,2833.05,0.78733,0.30665,0.81261,0.93291,0.94783,0.98217,0.81867,0.71176,0.30043,0.82175,0.000342211,0.000342211,0.000342211
93,2863.37,0.77305,0.30153,0.81548,0.93392,0.95016,0.98242,0.81945,0.71091,0.29517,0.81971,0.000332457,0.000332457,0.000332457
94,2894.29,0.77436,0.30376,0.8125,0.94491,0.94273,0.98295,0.82034,0.7119,0.29942,0.82092,0.000322778,0.000322778,0.000322778
95,2925.08,0.77929,0.30092,0.81163,0.93928,0.94506,0.98264,0.81935,0.71851,0.29664,0.82214,0.00031318,0.00031318,0.00031318
96,2955.22,0.7811,0.30261,0.80997,0.94116,0.94672,0.98279,0.81835,0.71125,0.29671,0.81954,0.000303665,0.000303665,0.000303665
97,2985.17,0.77442,0.30142,0.81258,0.9381,0.94683,0.98211,0.81874,0.7111,0.29644,0.82068,0.000294239,0.000294239,0.000294239
98,3015.04,0.77982,0.30052,0.8104,0.94007,0.94873,0.98259,0.81832,0.71101,0.29697,0.82162,0.000284906,0.000284906,0.000284906
99,3044.82,0.76674,0.29773,0.81128,0.93662,0.94771,0.98212,0.81831,0.7127,0.29705,0.82254,0.000275668,0.000275668,0.000275668
